,name,market,funding_total_usd,status,funding_rounds,State_code,City,founded_at,company_name,acquired_at,price_amount
0,#waywire,Art,1750000,acquired,1,NY,New York,2012-06-01,#waywire,2013-10-17,
1,&TV Communications,Gaming,4000000,operating,2,CA,Los Angeles,,,,
2,CornerBlue,Online_Tech,300000,operating,1,CA,Santa Monica,2006-02-22,,,
3,Cornerstone OnDemand,Corporate_Services,44700000,operating,2,CA,Santa Monica,1999-11-01,,,
4,Cornerstone Pharmaceuticals,Medical,19179100,operating,4,NJ,Cranbury,2000-01-01,,,
5,Cornerstone Properties,Renting,0,operating,1,WA,Marysville,1996-02-28,,,
6,Cornerstone Therapeutics,Medical,30000000,operating,1,NC,Cary,,,,
7,Cornice,Online_Tech,148000000,operating,2,CO,Longmont,2000-08-21,,,
8,CorNova,Medical,7885000,operating,3,MA,Burlington,2003-10-01,,,
9,Coro Health,Medical,2000000,operating,1,TX,Austin,,,,
10,Corona Labs,Online_Tech,3000000,acquired,3,CA,Palo Alto,2008-01-01,Corona Labs,2014-11-04,
11,Coronado Biosciences,Medical,62758534,operating,5,WA,Seattle,2006-01-01,,,
12,Addapp,Online_Tech,1800000,operating,1,CA,San Francisco,2014-04-03,,,
13,CORP80,Online_Tech,100000,operating,1,OH,Delaware,2012-01-01,,,
14,Corpora,Online_Tech,15000,operating,1,TN,Chattanooga,,,,
15,Corporate Times,Renting,0,operating,1,CA,San Diego,2005-05-06,,,
16,Corpsolv,Corporate_Services,0,operating,1,NJ,Middletown,2001-01-01,,,
17,CorpU,Online_Tech,4500000,operating,1,PA,Mechanicsburg,,,,
18,Correctional Healthcare Companies,Medical,10653722,operating,2,CO,Greenwood Village,2006-01-01,,,
19,CorrectNet,Online_Tech,3370000,acquired,2,NY,Hauppauge,1997-01-01,CorrectNet,2011-05-18,
20,Correlated Magnetics Research,Online_Tech,10451365,operating,1,AL,Huntsville,2008-01-01,,,
21,Correlix,Online_Tech,11400000,closed,4,NY,New York,2006-01-01,,,
22,Correlsense,Online_Tech,21000000,operating,6,MA,Framingham,2005-01-01,,,
23,Correx,Medical,6550000,operating,3,MA,Waltham,,,,
24,Corridor Pharmaceuticals,Medical,27620904,operating,4,MD,Towson,2007-01-01,,,
25,Corrigan and Aburn Sportswear,Art,0,operating,1,MD,Baltimore,1994-01-31,,,
26,Corrigo,Online_Tech,20000000,operating,2,OR,Tualatin,1999-01-01,,,
27,Addepar,Online_Tech,65839694,operating,2,CA,Mountain View,2009-01-01,,,
28,Corrupt Lace,Online_Tech,1750,operating,1,TX,Houston,2014-05-21,,,
29,Corsair,Online_Tech,75000000,operating,1,CA,Fremont,1994-01-01,,,
30,Corso,Online_Tech,530338,operating,1,NY,New York,2009-01-01,,,
31,CorTechs Labs,Medical,0,operating,1,CA,San Diego,2001-01-01,,,
32,Cortera,Online_Tech,60699922,operating,3,FL,Boca Raton,1993-01-01,,,
33,Cortex,Other,0,,1,CA,Palo Alto,2010-12-07,Cortex,2012-02-01,
34,Cortex Healthcare,Medical,60000,closed,1,MD,Chevy Chase,2009-01-01,,,
35,Cortex Pharmaceuticals,Medical,8378011,operating,4,CA,Irvine,1988-01-01,,,
36,Cortexa,Online_Tech,0,operating,1,NY,New York,2010-01-01,,,
37,Cortexyme,Manufacturing,1000000,operating,2,CA,San Francisco,,,,
38,Corthera,Medical,23000000,acquired,1,CA,San Carlos,,Corthera,2009-12-23,620000000.0
39,Cortica,Online_Tech,37900000,operating,4,NY,New York,2007-01-01,,,
40,Addiction Campuses of America,Medical,3800000,operating,2,TN,Brentwood,,,,
41,Cortina Systems,Online_Tech,162000000,acquired,2,CA,Sunnyvale,2001-01-01,Cortina Systems,2014-10-06,131000000.0
42,Cortria Corporation,Medical,1841000,operating,1,MA,Boston,2005-01-01,,,
43,Corventis,Medical,10000006,acquired,1,CA,San Jose,,Corventis,2014-05-20,150000000.0
44,Corvil,Online_Tech,31480000,operating,2,NY,New York,2000-01-01,,,
45,CorvisaCloud,Online_Tech,30000000,,1,WI,Milwaukee,2012-11-01,,,
46,CoSchedule,Online_Tech,500000,operating,1,ND,Bismarck,2013-01-01,,,
47,Cosential,Online_Tech,250000,operating,1,TX,Austin,1997-01-01,,,
48,Coskata,Online_Tech,86220000,operating,5,IL,Warrenville,2006-07-01,,,
49,Cosmederm Bioscience,Medical,50000000,operating,1,CA,San Diego,,,,
50,CosmosID,Medical,1315000,operating,2,MD,College Park,2007-01-01,,,
51,CosNet,Online_Tech,500012,operating,1,CA,Huntington Beach,2004-01-01,,,
52,CostumeWorks,Online_Tech,175000,closed,1,WI,Lake Geneva,2008-11-01,,,
53,COTA Track,Online_Tech,3700000,operating,1,NJ,Hackensack,2013-01-01,,,
54,Cotap,Online_Tech,15500000,operating,2,CA,San Francisco,2013-05-01,,,
55,Additech,Manufacturing,12550000,operating,3,TX,Houston,1995-01-01,,,
56,Cotendo,Online_Tech,36000000,acquired,4,CA,Sunnyvale,2008-01-01,Cotendo,2011-11-27,268000000.0
57,Cotera,Medical,6541000,operating,2,CA,Menlo Park,2011-01-01,,,
58,"Coterie, Inc.",Online_Tech,1500000,acquired,1,CA,San Francisco,2012-04-01,"Coterie, Inc.",2014-06-02,
59,Cotopaxi,Online_Tech,3000000,operating,1,UT,Salt Lake City,2013-11-01,,,
60,Cotton & Reed Distillery,Online_Tech,0,operating,1,DC,Washington,2013-03-01,,,
61,CoTweet,Online_Tech,1100000,acquired,1,CA,San Francisco,2009-01-01,CoTweet,2010-03-02,
62,Coty,Medical,0,operating,1,NY,New York,,,,
63,AddMyBest,Online_Tech,1170000,operating,1,NJ,Woodcliff Lake,2009-08-01,,,
64,Couchbase,Online_Tech,116000000,operating,6,CA,Mountain View,2009-01-02,,,
65,CouchOne,Online_Tech,2000000,closed,1,CA,Oakland,2009-01-01,,,
66,Couchsurfing,Online_Tech,22600000,operating,2,CA,San Francisco,2004-06-13,,,
67,Coull,Art,6000000,operating,2,CA,Santa Barbara,2008-10-01,,,
68,Counselytics,Corporate_Services,100000,operating,1,NY,New York,2013-07-15,,,
69,Counsyl,Online_Tech,103795000,operating,6,CA,South San Francisco,2008-01-01,,,
70,Countdown,Online_Tech,18000,operating,1,MA,Boston,,,,
71,Countdown To Buy,Renting,1100000,operating,1,CT,Bethel,,,,
72,20x200,Art,2800000,operating,2,NY,New York,2007-09-01,,,
73,AddonTV,Online_Tech,1000000,operating,1,CA,Beverly Hills,2009-08-01,,,
74,CounterStorm,Online_Tech,9500000,acquired,1,NY,New York,2001-01-01,CounterStorm,2008-09-05,
75,CounterTack,Online_Tech,34500000,operating,5,MA,Waltham,2007-01-01,,,
76,Coupa Software,Online_Tech,89000000,operating,6,CA,San Mateo,2006-01-01,,,
77,Coupad,Online_Tech,75000,operating,1,,,,,,
78,Coupeez Inc.,Online_Tech,1000000,operating,1,CA,Ventura,2010-06-22,,,
79,Addoway,Online_Tech,110000,operating,1,CA,San Francisco,2010-04-01,,,
80,CoupFlip,Online_Tech,0,operating,1,NH,Hanover,2011-01-01,,,
81,Couple,Online_Tech,4200000,operating,1,CA,San Francisco,2012-01-01,,,
82,Couplewise,Online_Tech,40000,operating,1,NY,New York,2010-01-01,,,
83,Coupon Wallet,Online_Tech,150000,operating,1,MI,Sterling Heights,2012-10-11,,,
84,CouponCabin,Online_Tech,54000000,operating,1,IN,Whiting,2003-08-01,,,
85,Coupons.com,Online_Tech,276760000,operating,6,CA,Mountain View,1998-01-01,,,
86,CoupOption,Corporate_Services,0,operating,1,WY,Cheyenne,2012-03-08,,,
87,Cour Pharmaceuticals Development,Medical,516977,operating,2,IL,Elmhurst,2012-01-01,,,
88,coUrbanize,Renting,668806,operating,2,MA,Cambridge,2013-02-01,,,
89,Courion Corporation,Online_Tech,840000,operating,2,MA,Westborough,1996-01-01,,,
90,Course Hero,Online_Tech,17393000,operating,6,CA,Redwood City,2006-10-01,,,
91,CourseAdvisor,Education,12000000,operating,1,MA,Woburn,2004-01-01,,,
92,CourseHorse,Online_Tech,1800000,operating,2,NY,New York,2011-04-14,,,
93,Courseload,Online_Tech,1640000,operating,1,IN,Indianapolis,2009-03-01,,,
94,AddressReport,Online_Tech,200000,operating,1,NY,New York,2014-04-01,,,
95,CourseNetworking,Online_Tech,1675936,operating,2,IN,Indianapolis,2011-01-01,,,
96,Coursera,Education,85000000,operating,4,CA,Mountain View,2012-01-01,,,
97,CourseWeaver,Education,600000,operating,1,MI,East Lansing,2013-05-01,,,
98,Coursmos,Education,990000,operating,3,CA,San Francisco,2013-07-07,,,
99,Courtagen Life Sciences,Medical,14272598,operating,4,MA,Woburn,1999-01-01,,,
